Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.16    768.39     1.36 99015355     0.00     0.00  GL_Bind
  0.16    769.69     1.31 67157713     0.00     0.00  CM_BoxTrace
  0.15    770.94     1.25                             ErrJump
  0.14    772.10     1.16 81571662     0.00     0.00  GL_State
  0.14    773.25     1.15 66373717     0.00     0.00  RE_AddPolyToScene
  0.14    774.38     1.13 30369799     0.00     0.00  CM_TempBoxModel
  0.14    775.51     1.13 18234189     0.00     0.00  Huff_offsetReceive
  0.14    776.64     1.13 69632952     0.00     0.00  VectorNormalize
  0.13    777.68     1.05 190521468     0.00     0.00  R_GetCommandBuffer
  0.12    778.68     1.00 118922076     0.00     0.00  FastVectorNormalize
  0.11    779.59     0.91 30515279     0.00     0.00  R_CullModel
  0.11    780.50     0.91 53771119     0.00     0.00  R_DecomposeSort
  0.11    781.37     0.87  7908444     0.00     0.00  R_LerpTag
  0.10    782.20     0.84 24621855     0.00     0.00  R_DlightFace
  0.10    783.02     0.82   269919     0.00     0.00  S_AL_SrcUpdate
  0.10    783.84     0.82 134167585     0.00     0.00  Q_rsqrt
  0.10    784.66     0.82 118922076     0.00     0.00  CrossProduct
  0.10    785.46     0.80   462529     0.00     0.00  CM_TracePointThroughPatchCollide
  0.10    786.25     0.79 96047845     0.00     0.00  R_BindAnimatedImage
  0.09    787.02     0.77  2103566     0.00     0.00  RB_CalcScrollTexCoords
  0.09    787.78     0.76 265565564     0.00     0.00  SkipWhitespace
  0.09    788.52     0.74  5808657     0.00     0.00  CM_PointContents
  0.09    789.26     0.74 59242842     0.00     0.00  RB_EndSurface
  0.09    790.00     0.74 58768197     0.00     0.00  RB_DeformTessGeometry
  0.09    790.73     0.73 36957556     0.00     0.00  RE_SetColor
  0.09    791.46     0.73 77545035     0.00     0.00  CM_BoundsIntersectPoint
  0.09    792.18     0.73 211596885     0.00     0.00  Q_isnan
  0.09    792.90     0.72 232386502     0.00     0.00  R_GetShaderByHandle
  0.08    793.58     0.68    58698     0.01     0.01  CL_GetSnapshot
  0.08    794.22     0.64                             frame_dummy
  0.08    794.85     0.63 26582421     0.00     0.00  R_DlightSurface
  0.07    795.46     0.61     2493     0.24     0.28  R_LoadTGA
  0.07    796.06     0.60  8088829     0.00     0.00  SkipBracedSection
  0.07    796.64     0.58   268861     0.00     0.00  S_AL_ClearLoopingSounds
  0.07    797.21     0.57 13894822     0.00     0.00  RadiusFromBounds
  0.07    797.76     0.56 211623469     0.00     0.00  Sys_Milliseconds
  0.07    798.31     0.55 42547150     0.00     0.00  MSG_ReadBits
  0.07    798.85     0.54    86755     0.01     0.02  DrawSkyBox
  0.07    799.39     0.54 13586086     0.00     0.00  LodErrorForVolume
  0.07    799.93     0.54 105807679     0.00     0.00  CM_ClipHandleToModel
  0.06    800.46     0.53 17641262     0.00     0.00  CL_GetUserCmd
  0.06    800.95     0.49 11005939     0.00     0.00  CM_TraceThroughPatchCollide
  0.06    801.42     0.47  1094687     0.00     0.09  RE_RenderScene
  0.06    801.88     0.47 19198127     0.00     0.00  DrawMultitextured
  0.06    802.34     0.46 30515279     0.00     0.00  R_ComputeLOD
  0.05    802.77     0.43 26447609     0.00     0.00  AddPointToBounds
  0.05    803.20     0.43 131317987     0.00     0.00  get_bit
  0.05    803.59     0.39   500133     0.00     0.00  DrawSkySide
  0.05    803.98     0.39 10145102     0.00     0.00  RB_CalcRotateTexCoords
  0.05    804.36     0.38   111501     0.00     0.00  DoRailDiscs
  0.05    804.74     0.38 206137384     0.00     0.00  Com_TimeVal
  0.05    805.12     0.38 12783737     0.00     0.00  RB_SurfaceSprite
  0.04    805.49     0.37 13894822     0.00     0.00  ProjectRadius
  0.04    805.86     0.37   269921     0.00     1.52  Com_Frame
  0.04    806.22     0.36 15816888     0.00     0.00  R_GetTag
  0.04    806.57     0.35 68710562     0.00     0.00  CM_InlineModel
  0.04    806.90     0.34  1991938     0.00     0.00  VectorLength
  0.04    807.23     0.33 58768197     0.00     0.00  GL_Cull
  0.04    807.55     0.32 32016025     0.00     0.00  Matrix4Copy
  0.04    807.86     0.32 148963088     0.00     0.00  FloatAsInt
  0.04    808.17     0.31                             _curl_easy_setopt_err_long
  0.04    808.48     0.31   338737     0.00     0.00  RB_CalcTurbulentTexCoords
  0.04    808.78     0.30    11441     0.03     0.03  R_MipMap
  0.04    809.07     0.29 36957556     0.00     0.00  RB_SetColor
  0.03    809.35     0.29  4394715     0.00     0.00  SetPlaneSignbits
  0.03    809.63     0.28                             VM_LogSyscalls
  0.03    809.89     0.26  1162973     0.00     0.00  MSG_ReadDeltaEntity
  0.03    810.14     0.25  2201443     0.00     0.00  FastVectorNormalize2
  0.03    810.39     0.25   542318     0.00     0.00  VM_Call
  0.03    810.63     0.24  7474065     0.00     0.00  S_AL_ScaleGain
  0.03    810.86     0.23    58705     0.00     0.00  CL_Netchan_Decode
  0.03    811.09     0.23 52972221     0.00     0.00  Huff_getBit
  0.03    811.31     0.22   233591     0.00     0.03  RB_ClipSkyPolygons
  0.03    811.53     0.22  2183083     0.00     0.00  RB_CalcWaveAlpha
  0.02    811.73     0.21 17441526     0.00     0.00  S_AL_UpdateEntityPosition
  0.02    811.93     0.20  1094687     0.00     0.00  R_AddPolygonSurfaces
  0.02    812.13     0.20  1094687     0.00     0.09  R_RenderView
  0.02    812.32     0.19  8699563     0.00     0.00  EvalWaveForm
  0.02    812.51     0.19  4072876     0.00     0.00  RB_CalcWaveColor
  0.02    812.70     0.19 16119671     0.00     0.00  R_CullGrid
  0.02    812.89     0.19   269919     0.00     0.00  CL_CaptureVoip
  0.02    813.08     0.19     2341     0.08     0.21  Upload32
  0.02    813.26     0.18 57596851     0.00     0.00  GL_SelectTexture
  0.02    813.43     0.18                             qvmftolsse
  0.02    813.60     0.17   110953     0.00     0.00  CrossProduct
  0.02    813.77     0.17     1551     0.11     0.14  R_LoadJPG
  0.02    813.94     0.17 29883979     0.00     0.00  R_LocalPointToWorld
  0.02    814.10     0.16  4256164     0.00     0.00  CL_DeltaEntity
  0.02    814.26     0.16  1490543     0.00     0.00  FS_HashFileName
  0.02    814.42     0.16  1094687     0.00     0.00  RB_BeginDrawingView
  0.02    814.58     0.16  1094687     0.00     0.00  R_SetupFrustum
  0.02    814.73     0.15 39880492     0.00     0.00  R_GetModelByHandle
  0.02    814.88     0.15 12055427     0.00     0.00  CM_CheckFacetPlane
  0.02    815.03     0.15  1094687     0.00     0.00  R_SetupProjection
  0.02    815.18     0.15    58700     0.00     0.04  CL_ParsePacketEntities
  0.02    815.32     0.15      757     0.19     1.65  R_IssuePendingRenderCommands
  0.02    815.46     0.14  4118404     0.00     0.00  send
  0.02    815.60     0.14  2106972     0.00     0.00  increment
  0.02    815.74     0.14  1377531     0.00     0.00  FS_FOpenFileReadDir
  0.02    815.88     0.14   573282     0.00     0.00  FS_PakIsPure
  0.02    816.02     0.14     9582     0.01     0.30  RE_RegisterShaderNoMip
  0.02    816.16     0.14        9    15.56    15.56  COM_Compress
  0.02    816.30     0.14                             CM_WriteAreaBits
  0.02    816.43     0.13  2201443     0.00     0.00  VectorInverse
  0.02    816.56     0.13  1094687     0.00     0.00  R_AddDrawSurfCmd
  0.02    816.69     0.13   270117     0.00     0.00  RE_BeginFrame
  0.02    816.82     0.13 34819551     0.00     0.00  S_AL_StreamUpdate
  0.02    816.94     0.13 11381503     0.00     0.00  MSG_WriteBits
  0.01    817.06     0.12  1094687     0.00     0.00  RB_RenderFlares
  0.01    817.18     0.12  1094687     0.00     0.05  R_AddWorldSurfaces
  0.01    817.30     0.12   542318     0.00     0.00  VM_CallCompiled
  0.01    817.42     0.12    92936     0.00     0.00  R_DlightBmodel
  0.01    817.53     0.11 12400343     0.00     0.00  R_ComputeFogNum
  0.01    817.64     0.11  3962439     0.00     0.00  S_AL_SrcLoop
  0.01    817.75     0.11  3808552     0.00     0.00  CL_ScaledMilliseconds
  0.01    817.85     0.10 53247322     0.00     0.00  Hex
  0.01    817.95     0.10  1094687     0.00     0.00  R_RotateForViewer
  0.01    818.05     0.10   460927     0.00     0.00  mdfour64
  0.01    818.15     0.10   168196     0.00     0.00  S_AL_SrcAlloc
  0.01    818.24     0.09 31856930     0.00     0.00  add_bit
  0.01    818.33     0.09  1652566     0.00     0.00  AutospriteDeform
  0.01    818.42     0.09  1094687     0.00     0.32  RB_DrawSurfs
  0.01    818.51     0.09  1077438     0.00     0.00  RB_SetGL2D
  0.01    818.60     0.09   270117     0.00     0.00  RB_SwapBuffers
  0.01    818.69     0.09   269919     0.00     0.00  CL_SetCGameTime
  0.01    818.78     0.09                             CM_TraceBoundingBoxThroughCapsule
  0.01    818.87     0.09 26439184     0.00     0.00  _S_AL_SanitiseVector
  0.01    818.95     0.09 19198145     0.00     0.00  GL_TexEnv
  0.01    819.04     0.09        8    10.63    10.63  Sys_DefaultHomePath
  0.01    819.12     0.08 29883979     0.00     0.00  R_CullLocalPointAndRadius
  0.01    819.20     0.08 10818047     0.00     0.00  FastVectorNormalize2
  0.01    819.28     0.08   270117     0.00     0.00  SCR_DrawScreenField
  0.01    819.36     0.08   233591     0.00     0.07  RB_StageIteratorSky
  0.01    819.44     0.08     2837     0.03     2.75  FindShaderInShaderText
  0.01    819.51     0.07 26309020     0.00     0.00  unzlocal_getByte
  0.01    819.58     0.07  1094687     0.00     0.00  RB_DrawSun
  0.01    819.65     0.07   269919     0.00     0.01  S_AL_Update
  0.01    819.72     0.07                             VectorRotate
  0.01    819.78     0.07                             qftolsse
  0.01    819.84     0.06 14775578     0.00     0.00  RB_AddQuadStamp
  0.01    819.90     0.06 11645170     0.00     0.00  VectorLength
  0.01    819.96     0.06 11005939     0.00     0.00  CM_TraceThroughPatch
  0.01    820.02     0.06  1801136     0.00     0.00  GetNoiseValue
  0.01    820.08     0.06  1285782     0.00     0.00  R_TransformDlights
  0.01    820.14     0.06   270126     0.00     0.00  R_InitNextFrame
  0.01    820.20     0.06   270117     0.00     1.48  SCR_UpdateScreen
  0.01    820.26     0.06   205896     0.00     0.00  CM_PositionTestInPatchCollide
  0.01    820.32     0.06    58700     0.00     0.00  MSG_ReadDeltaPlayerstate
  0.01    820.38     0.06      645     0.09     0.57  R_LoadMD3
  0.01    820.44     0.06                             COM_ParseWarning
  0.01    820.50     0.06  2123054     0.00     0.00  Key_GetCatcher
  0.01    820.55     0.06   269919     0.00     0.01  S_Update
  0.01    820.61     0.06   145296     0.00     0.00  PointRotateAroundVector
  0.01    820.66     0.05 17441526     0.00     0.00  S_UpdateEntityPosition
  0.01    820.71     0.05  7426757     0.00     0.00  Distance
  0.01    820.76     0.05  2532456     0.00     0.00  RB_CalcStretchTexCoords
  0.01    820.81     0.05  2023315     0.00     0.00  R_CullTriSurf
  0.01    820.86     0.05  1094687     0.00     0.00  R_SetFarClip
  0.01    820.91     0.05   778371     0.00     0.00  RE_AddDynamicLightToScene
  0.01    820.96     0.05   699892     0.00     0.00  RB_CalcColorFromEntity
  0.01    821.01     0.05   268654     0.00     0.00  SCR_DrawVoipMeter
  0.01    821.06     0.05   136135     0.00     0.00  S_AL_SrcSetup
  0.01    821.11     0.05        9     5.56     5.56  CM_ClearMap
  0.01    821.16     0.05        9     5.56     5.56  GLimp_Init
  0.01    821.21     0.05                             NormalizeColor
  0.01    821.26     0.05                             PointRotateAroundVector
  0.01    821.31     0.05                             RB_CalcAlphaFromOneMinusEntity
  0.01    821.36     0.05                             RB_StageIteratorLightmappedMultitexture
  0.01    821.41     0.05                             R_MDRAddAnimSurfaces
  0.01    821.46     0.05                             puff
  0.01    821.50     0.05    89114     0.00     0.00  CL_Netchan_Encode
  0.01    821.55     0.05    58700     0.00     0.05  CL_ParseSnapshot
  0.00    821.59     0.04 46599464     0.00     0.00  Emit1
  0.00    821.63     0.04 26609611     0.00     0.00  fread_file_func
  0.00    821.67     0.04 14229405     0.00     0.00  get_ppnode
  0.00    821.71     0.04 13006191     0.00     0.00  RB_SurfaceEntity
  0.00    821.75     0.04 12428867     0.00     0.00  EmitString
  0.00    821.79     0.04 10031331     0.00     0.00  TableForFunc
  0.00    821.83     0.04  4402177     0.00     0.00  R_ColorShiftLightingBytes
  0.00    821.87     0.04  2469775     0.00     0.00  ClearBounds
  0.00    821.91     0.04  2183083     0.00     0.00  EvalWaveFormClamped
  0.00    821.95     0.04  1095141     0.00     0.00  RE_ClearScene
  0.00    821.99     0.04  1094687     0.00     0.00  RB_DrawSunFlare
  0.00    822.03     0.04  1094687     0.00     0.00  R_SetupProjectionZ
  0.00    822.07     0.04   826027     0.00     0.00  R_ModelBounds
  0.00    822.11     0.04   282147     0.00     0.00  S_AL_SrcKill
  0.00    822.15     0.04   269919     0.00     1.49  CL_Frame
  0.00    822.19     0.04   269919     0.00     0.00  Com_ModifyMsec
  0.00    822.23     0.04    89114     0.00     0.00  Netchan_Transmit
  0.00    822.27     0.04     3529     0.01     0.01  CL_RefMalloc
  0.00    822.31     0.04        5     8.00     8.02  R_InitSkyTexCoords
  0.00    822.35     0.04        3    13.33    13.33  GetRefAPI
  0.00    822.39     0.04                             AddWindingToConvexHull
  0.00    822.43     0.04                             AngleDelta
  0.00    822.47     0.04                             Autosprite2Deform
  0.00    822.51     0.04                             CL_CDDialog
  0.00    822.55     0.04                             R_MDRComputeFogNum
  0.00    822.59     0.04                             R_inPVS
  0.00    822.62     0.04   268861     0.00     0.00  S_ClearLoopingSounds
  0.00    822.66     0.04                             CM_TraceThroughSphere
  0.00    822.69     0.04                             DrawNormals
  0.00    822.73     0.04                             RB_TakeVideoFrameCmd
  0.00    822.76     0.03 13006191     0.00     0.00  R_SpriteFogNum
  0.00    822.79     0.03  6179080     0.00     0.00  MSG_ReadByte
  0.00    822.82     0.03  4627328     0.00     0.00  RB_SurfaceFlare
  0.00    822.85     0.03  4400996     0.00     0.00  Huff_putBit
  0.00    822.88     0.03  4046701     0.00     0.00  S_AL_HearingThroughEntity
  0.00    822.91     0.03  3305132     0.00     0.00  GlobalVectorToLocal
  0.00    822.94     0.03  1094687     0.00     0.07  R_GenerateDrawSurfs
  0.00    822.97     0.03  1094687     0.00     0.01  R_SortDrawSurfs
  0.00    823.00     0.03   551068     0.00     0.00  CL_UISystemCalls
  0.00    823.03     0.03   460927     0.00     0.00  copy64
  0.00    823.06     0.03   413331     0.00     0.00  qsnapvectorsse
  0.00    823.09     0.03   368928     0.00     0.00  FS_ReturnPath
  0.00    823.12     0.03   269920     0.00     0.00  SV_Frame
  0.00    823.15     0.03   269919     0.00     0.00  NET_FlushPacketQueue
  0.00    823.18     0.03   269919     0.00     0.00  S_AL_MusicUpdate
  0.00    823.21     0.03   233591     0.00     0.02  R_BuildCloudData
  0.00    823.24     0.03   112571     0.00     0.00  R_NoiseGet4f
  0.00    823.27     0.03    89174     0.00     0.00  NET_SendPacket
  0.00    823.30     0.03    89114     0.00     0.01  CL_WritePacket
  0.00    823.33     0.03    58873     0.00     0.07  NET_Event
  0.00    823.36     0.03    58705     0.00     0.06  CL_ParseServerMessage
  0.00    823.39     0.03    11133     0.00     0.00  CL_ConsolePrint
  0.00    823.42     0.03     9816     0.00     0.00  EmitPtr
  0.00    823.45     0.03       12     2.50     2.51  S_AL_StopAllSounds
  0.00    823.48     0.03        9     3.33     3.33  R_InitAnimation
  0.00    823.51     0.03        5     6.00     6.01  RB_ShowImages
  0.00    823.54     0.03        2    15.00    15.00  VM_Forced_Unload_Done
  0.00    823.57     0.03                             RB_CalcFogTexCoords
  0.00    823.60     0.03                             RB_SurfaceAxis
  0.00    823.63     0.03                             R_GetAnimTag
  0.00    823.66     0.03                             R_LoadMDR
  0.00    823.69     0.03                             SCR_GetBigStringWidth
  0.00    823.71     0.03  1018974     0.00     0.00  R_DlightGrid
  0.00    823.74     0.03   209027     0.00     0.00  R_DlightTrisurf
  0.00    823.76     0.03       19     1.32     1.44  CL_ShutdownCGame
  0.00    823.79     0.03                             PerpendicularVector
  0.00    823.81     0.03                             R_LocalNormalToWorld
  0.00    823.83     0.02  5143322     0.00     0.00  unzlocal_getShort
  0.00    823.85     0.02  4951571     0.00     0.00  MSG_WriteByte
  0.00    823.87     0.02  4005594     0.00     0.00  unzlocal_getLong
  0.00    823.89     0.02  3325640     0.00     0.00  MSG_WriteDeltaKey
  0.00    823.91     0.02  2972205     0.00     0.00  VectorLengthSquared
  0.00    823.93     0.02  2838556     0.00     0.00  _vmf
  0.00    823.95     0.02  1094687     0.00     0.00  SetViewportAndScissor
  0.00    823.97     0.02   315371     0.00     0.00  R_AddBrushModelSurfaces
  0.00    823.99     0.02   270117     0.00     0.00  GLimp_EndFrame
  0.00    824.01     0.02   268654     0.00     0.00  Con_DrawNotify
  0.00    824.03     0.02   141329     0.00     0.00  generateHashValue
  0.00    824.05     0.02   103906     0.00     0.00  S_AL_StartSound
  0.00    824.07     0.02    58863     0.00     0.00  Netchan_Process
  0.00    824.09     0.02    58660     0.00     0.00  CL_AdjustTimeDelta
  0.00    824.11     0.02    47864     0.00     0.00  R_MergedWidthPoints
  0.00    824.13     0.02    36324     0.00     0.00  RB_SurfaceLightningBolt
  0.00    824.15     0.02    28081     0.00     0.00  Cmd_TokenizeString2
  0.00    824.17     0.02     1480     0.01     0.02  CL_SetServerInfoByAddress
  0.00    824.19     0.02     1220     0.02     0.02  CL_ConfigstringModified
  0.00    824.21     0.02     1092     0.02     0.32  FS_LoadZipFile
  0.00    824.23     0.02       14     1.43     1.43  VM_Destroy_Compiled
  0.00    824.25     0.02        9     2.22    46.54  ScanAndLoadShaderFiles
  0.00    824.27     0.02        5     4.00     4.00  CM_InitBoxHull
  0.00    824.29     0.02        3     6.67     6.67  S_AL_SrcShutdown
  0.00    824.31     0.02        2    10.00    10.00  S_AL_SrcUnlock
  0.00    824.33     0.02                             CIN_DrawCinematic
  0.00    824.35     0.02                             CL_VoipParseTargets
  0.00    824.37     0.02                             Com_SkipTokens
  0.00    824.39     0.02                             CrossProduct
  0.00    824.41     0.02                             DeformText
  0.00    824.43     0.02                             NET_QueuePacket
  0.00    824.45     0.02                             RB_CalcLightscaleTexCoords
  0.00    824.47     0.02                             RB_ClearDepth
  0.00    824.49     0.02                             RB_RenderFlare
  0.00    824.51     0.02                             R_TransformClipToWindow
  0.00    824.53     0.02  3096530     0.00     0.00  S_AL_AddRealLoopingSound
  0.00    824.54     0.02  1400283     0.00     0.00  EmitPushStack
  0.00    824.56     0.02   865909     0.00     0.00  S_AL_AddLoopingSound
  0.00    824.57     0.02   297408     0.00     0.00  Com_DPrintf
  0.00    824.59     0.02                             BoundsIntersectPoint
  0.00    824.60     0.01 14228390     0.00     0.00  free_ppnode
  0.00    824.61     0.01  6502028     0.00     0.00  NET_CompareBaseAdr
  0.00    824.62     0.01  4474817     0.00     0.00  VectorLength
  0.00    824.63     0.01  4118112     0.00     0.00  Huff_offsetTransmit
  0.00    824.64     0.01  2688510     0.00     0.00  CL_KeyState
  0.00    824.65     0.01  1623020     0.00     0.00  S_AL_Gain
  0.00    824.66     0.01  1094687     0.00     0.01  R_RadixSort
  0.00    824.67     0.01  1079690     0.00     0.00  NET_GetLoopPacket
  0.00    824.68     0.01   746757     0.00     0.00  MSG_Init
  0.00    824.69     0.01   566543     0.00     0.00  unzlocal_GetCurrentFileInfoInternal
  0.00    824.70     0.01   539846     0.00     0.00  Cbuf_Execute
  0.00    824.71     0.01   539845     0.00     0.00  Com_EventLoop
  0.00    824.72     0.01   314175     0.00     0.00  Constant1
  0.00    824.73     0.01   290908     0.00     0.00  CL_RefPrintf
  0.00    824.74     0.01   278828     0.00     0.00  unzGetCurrentFileInfo
  0.00    824.75     0.01   270117     0.00     0.00  Con_DrawConsole
  0.00    824.76     0.01   270117     0.00     1.48  RE_EndFrame
  0.00    824.77     0.01   270117     0.00     1.48  R_IssueRenderCommands
  0.00    824.78     0.01   269919     0.00     0.00  CL_UpdateMumble
  0.00    824.79     0.01   269919     0.00     0.00  Con_RunConsole
  0.00    824.80     0.01   269028     0.00     0.00  CL_ReadyToSendPacket
  0.00    824.81     0.01   268851     0.00     0.00  CL_CmdButtons
  0.00    824.82     0.01   268851     0.00     0.00  CL_KeyMove
  0.00    824.83     0.01   268416     0.00     0.00  CL_SetUserCmdValue
  0.00    824.84     0.01   268416     0.00     0.00  S_AL_Respatialize
  0.00    824.85     0.01   268416     0.00     0.00  S_Respatialize
  0.00    824.86     0.01   219925     0.00     0.00  DoRailCore
  0.00    824.87     0.01   197894     0.00     0.00  CL_MouseEvent
  0.00    824.88     0.01   141151     0.00     0.00  Q_strlwr
  0.00    824.89     0.01   117798     0.00     0.00  NET_GetPacket
  0.00    824.90     0.01    89174     0.00     0.00  Sys_SendPacket
  0.00    824.91     0.01    89096     0.00     0.00  MSG_HashKey
  0.00    824.92     0.01    74629     0.00     0.00  RB_SurfaceRailCore
  0.00    824.93     0.01    52593     0.00     0.01  MSG_ReadString
  0.00    824.94     0.01    42129     0.00     0.00  RB_CheckOverflow
  0.00    824.95     0.01    32707     0.00     0.28  R_FindShader
  0.00    824.96     0.01    15937     0.00     0.28  ParseFace
  0.00    824.97     0.01    13523     0.00     0.00  ChopWindingInPlace
  0.00    824.98     0.01    11133     0.00     0.00  Sys_AnsiColorPrint
  0.00    824.99     0.01     2321     0.00     0.00  fopen_file_func
  0.00    825.00     0.01      945     0.01     1.34  RE_RegisterModel
  0.00    825.01     0.01      332     0.03     0.07  R_SubdividePatchToGrid
  0.00    825.02     0.01       25     0.40     0.40  ResampleTexture
  0.00    825.03     0.01       14     0.71    17.86  VM_Compile
  0.00    825.04     0.01        5     2.00   963.39  RE_LoadWorldMap
  0.00    825.05     0.01        5     2.00     7.01  R_LoadLightGrid
  0.00    825.06     0.01        1    10.00   209.97  MSG_initHuffman
  0.00    825.07     0.01        1    10.00    10.01  NET_Shutdown
  0.00    825.08     0.01                             CL_GetParseEntityState
  0.00    825.09     0.01                             CM_BoxBrushes
  0.00    825.10     0.01                             COM_ParseExt2
  0.00    825.11     0.01                             Huff_setBloc
  0.00    825.12     0.01                             MSG_Copy
  0.00    825.13     0.01                             MSG_ReadChar
  0.00    825.14     0.01                             NormalizeColor
  0.00    825.15     0.01                             R_MirrorViewBySurface
  0.00    825.16     0.01                             S_AL_StopLoopingSound
  0.00    825.16     0.01  4077804     0.00     0.00  S_AL_CheckInput
  0.00    825.17     0.01  3179733     0.00     0.00  EmitCommand
  0.00    825.17     0.01  2246169     0.00     0.00  swaplist
  0.00    825.18     0.01  2106972     0.00     0.00  Huff_addRef
  0.00    825.18     0.01   269919     0.00     0.00  CL_CheckForResend
  0.00    825.19     0.01   269049     0.00     0.00  CL_CGameRendering
  0.00    825.19     0.01   136138     0.00     0.00  S_AL_BufferUse
